Altium Designer Pick and Place Locations
C:\Users\phili\polybox\05_AltiumProjects\SolarTestBed\STB_SensorBoard\Documentation\Pick and Place\STB_SensorBoard_Pick and Place.txt

========================================================================================================================
File Design Information:

Date:       09.11.22
Time:       09:56
Revision:   18bfd3b5abf29e1933fc09800507b468027133b6
Variant:    STB_SensorBoard_main
Units used: mm

Designator Comment           Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                      
R12_T3     10k               TopLayer RESC1005X40X25LL05T05     298.1000     115.4377     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R12_T2     10k               TopLayer RESC1005X40X25LL05T05     45.9000      131.5323     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R12_T1     10k               TopLayer RESC1005X40X25LL05T05     45.9000      231.5323     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R11        10k               TopLayer RESC1005X40X25LL05T05     166.4899     299.9759     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R7         10k               TopLayer RESC1005X40X25LL05T05     181.5228     298.3499     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R2         10k               TopLayer RESC1005X40X25LL05T05     157.8500     301.6000     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C46        100nF             TopLayer CAPC1050X55X23LL05T13     177.0018     261.0636     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C12        100nF             TopLayer CAPC1050X55X23LL05T13     240.4016     354.0931     0        "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C6         100nF             TopLayer CAPC1050X55X23LL05T13     271.3644     354.1954     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C45        100nF             TopLayer CAPC1050X55X23LL05T13     173.0750     307.1724     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C44        100nF             TopLayer CAPC1050X55X23LL05T13     125.2473     250.4150     270      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C43        100nF             TopLayer CAPC1050X55X23LL05T13     126.6942     252.9975     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C41        100nF             TopLayer CAPC1050X55X23LL05T13     168.4475     255.0744     300      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C40        100nF             TopLayer CAPC1050X55X23LL05T13     175.4879     254.9333     240      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C37        100nF             TopLayer CAPC1050X55X23LL05T13     181.2804     265.2762     90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C35        100nF             TopLayer CAPC1050X55X23LL05T13     170.9279     258.0126     0        "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C33        100nF             TopLayer CAPC1050X55X23LL05T13     295.0000     50.2500      180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C32        100nF             TopLayer CAPC1050X55X23LL05T13     48.0000      297.2500     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C31        100nF             TopLayer CAPC1050X55X23LL05T13     169.6672     254.7975     90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C29        100nF             TopLayer CAPC1050X55X23LL05T13     295.0000     297.2500     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C28        100nF             TopLayer CAPC1050X55X23LL05T13     48.0000      50.2500      180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C25        100nF             TopLayer CAPC1050X55X23LL05T13     177.0033     329.5725     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C24_T4     100nF             TopLayer CAPC1050X55X23LL05T13     295.8640     212.4735     90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C24_T3     100nF             TopLayer CAPC1050X55X23LL05T13     295.8640     112.4435     90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C24_T2     100nF             TopLayer CAPC1050X55X23LL05T13     48.1361      134.5265     270      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C24_T1     100nF             TopLayer CAPC1050X55X23LL05T13     48.1360      234.5265     270      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C23_T4     100nF             TopLayer CAPC1050X55X23LL05T13     298.1000     216.4267     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C23_T3     100nF             TopLayer CAPC1050X55X23LL05T13     298.1000     116.3967     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C23_T2     100nF             TopLayer CAPC1050X55X23LL05T13     45.9001      130.5733     0        "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C23_T1     100nF             TopLayer CAPC1050X55X23LL05T13     45.9000      230.5733     0        "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
